estado	ano	pib	pib_d	abertura	desp_cor	pop
17	2011	165647685.1	142017417.3	25333856554	16464572065	3600538
17	2012	172569384.1	165647685.1	20269453481	13652618264	3686124
17	2013	163529506.7	172569384.1	17823722202	14052113651	3733092
17	2014	168764910.8	163529506.7	18623964040	15986175672	3780994
17	2015	142522340.6	168764910.8	14418861511	14472145136	3829385
17	2016	121723317.3	142522340.6	9516515620	13819275224	3875864
17	2017	122713500.1	121723317.3	12232664855	13792324743	3921759
17	2018	142920346.3	122713500.1	13588124794	14516284091	3968734
17	2019	137345595	142920346.3	12878860047	14530235712	4014926
18	2010	77092398.35	72276673.23	6736237503	12045287207	6574789
18	2011	81503715.65	77092398.35	9330876618	12731448099	6670364.5
18	2012	89334094.59	81503715.65	10084420543	13698080348	6765940
18	2013	94394937.11	89334094.59	9175916802	13285154960	6803063
18	2014	100697757.9	94394937.11	9865475251	11595232383	6841945
18	2015	92921457.92	100697757.9	6672085123	14501128855	6882640
18	2016	95037529.51	92921457.92	4311872229	15122372472	6921259
18	2017	96896924.4	95037529.51	5591888505	16064443391	6960070
18	2018	102407254	96896924.4	6922362489	16657456931	7000726
18	2019	97339938	102407254	7095432329	13972018160	7040610
19	2010	94224529.27	92902664.64	9445692663	14022128992	3035122
19	2011	108092104.8	94224529.27	12694737043	14236692745	3085670.5
19	2012	117653323.7	108092104.8	15468317488	14904922470	3136219
19	2013	124400135.3	117653323.7	17549929771	13051675650	3176443
19	2014	132662937.9	124400135.3	16562958053	14468204359	3219155
19	2015	127191339.7	132662937.9	14395459540	14226981084	3263522
19	2016	138005767.7	127191339.7	13773480717	15463559087	3305274
19	2017	137263781	138005767.7	16132334411	15131275146	3346410
19	2018	143361350.6	137263781	18029335990	15244377939	3388919
19	2019	142122028	143361350.6	19219143444	15652266182	3430698
20	2010	78692228.95	69672906.81	6288924952	10785747146	2449024
20	2011	86176695.9	78692228.95	8314782936	11808489865	2471041.5
20	2012	91583454.81	86176695.9	9373638445	12366486835	2493059
20	2013	96498216.47	91583454.81	10982843398	20530304049	2523936
20	2014	103460327.5	96498216.47	10453919495	13818492034	2555315
20	2015	98375971.36	103460327.5	8156557087	22222302422	2587251
20	2016	102370318.3	98375971.36	6374446202	11670581568	2618029
20	2017	104313495.5	102370318.3	7311777181	12447801586	2648371
20	2018	111575395.4	104313495.5	8524840368	12804389708	2679112
20	2019	106943246	111575395.4	7649706530	13134527000	2709334
21	2010	137646260.3	108720444.8	13981702256	16758825897	7581051
21	2011	154291260.8	137646260.3	19680761222	16947699271	7750786.5
21	2012	158141119.4	154291260.8	16145989721	19526916494	7920522
21	2013	169038156.6	158141119.4	16970131018	38525517575	8014493
21	2014	163262539.5	169038156.6	15233347187	21721016827	8109173
21	2015	154994823.6	163262539.5	11225030524	29897110603	8204007
21	2016	153855246.6	154994823.6	11622159071	22058911069	8293480
21	2017	167981677.3	153855246.6	15459765003	22331277098	8381474
21	2018	168297560.5	167981677.3	16758236763	23325347856	8472029
21	2019	178376984	168297560.5	19066784923	23877838660	8561098
22	2010	374902846.4	346754670	27995544250	32061342290	10444526
22	2011	401898726.3	374902846.4	36093462258	34570037296	10626665
22	2012	421814782	401898726.3	37116686180	37139944789	10808804
22	2013	465012252.7	421814782	37525428841	7572312575	10894879
22	2014	456147482.2	465012252.7	33570003781	39839775358	10984606
22	2015	446352231	456147482.2	27323138924	38443115312	11075678
22	2016	447631092	446352231	26181756945	50605842293	11162815
22	2017	456115587.8	447631092	30613542556	52492541853	11248537
22	2018	458977736.3	456115587.8	32203496031	47102896044	11335547
22	2019	466377036	458977736.3	30821624298	46250274973	11420565
23	2010	37071814.1	33404089.12	319088331	6586245543	3118360
23	2011	40548025.6	37071814.1	321743283	6689717666	3165497.5
23	2012	42293222.86	40548025.6	396284604	6799382165	3212635
23	2013	43622417.54	42293222.86	359425976	81924107731	3220646
23	2014	49434816.7	43622417.54	502481052	7880152045	3228556
23	2015	46356162.12	49434816.7	513581044	7905227405	3237691
23	2016	46139510.24	46356162.12	267695054	8364396017	3246228
23	2017	49091423.4	46139510.24	745101516	8825445461	3254626
23	2018	52547789.06	49091423.4	842868562	8761317611	3263754
23	2019	52780785	52547789.06	830956396	9957146615	3272447
24	2010	748886088.6	690511453.2	38455558544	70944422910	15989929
24	2011	801489379.8	748886088.6	49006993340	75589898049	16250040.5
24	2012	849012002.2	801489379.8	48400512632	79299754563	16510152
24	2013	876009986.8	849012002.2	40668820698	11418673174	16615861
24	2014	879413718.5	876009986.8	41568753319	80994803987	16725692
24	2015	780469915.3	879413718.5	31428121840	60031938844	16840638
24	2016	713423061.8	780469915.3	25496477899	51647901518	16947230
24	2017	726764797.3	713423061.8	33187815514	59124711788	17050949
24	2018	791536668.1	726764797.3	47967965892	59626563210	17159435
24	2019	779927917	791536668.1	48090695309	60630929358	17264410
25	2010	60236928.29	54551527.06	601494560	10121555858	3168027
25	2011	64074591.47	60236928.29	523892121	10340449379	3235373.5
25	2012	68543314.74	64074591.47	481832521	11073817495	3302720
25	2013	71838284.12	68543314.74	513887962	58730248933	3332952
25	2014	70793981.2	71838284.12	565040887	11928628882	3363084
25	2015	67789316.93	70793981.2	565772775	11510104601	3393814
25	2016	66482113.37	67789316.93	469140953	9485566942	3422843
25	2017	69587461.28	66482113.37	481328156	9984652288	3450669
25	2018	69853372.88	69587461.28	444134085	8860348668	3479010
25	2019	71336780	69853372.88	563151426	10682614297	3506853
26	2010	401611402.4	360276302.3	26089700211	47964795130	10693929
26	2011	414300310.9	401611402.4	32735695872	49852701827	10844731.5
26	2012	424719452.2	414300310.9	32187123880	54268677956	10995534
26	2013	463355089.7	424719452.2	36965177927	7816111399	11047661
26	2014	468901102.4	463355089.7	33528856347	61871567967	11100998
26	2015	452307866.3	468901102.4	27085341501	58025754571	11157010
26	2016	455401823.1	452307866.3	24480319555	57790007557	11211227
26	2017	458033314.1	455401823.1	27692800823	60174135412	11261515
26	2018	476985729.2	458033314.1	29511541785	62067109578	11310970
26	2019	482464177	476985729.2	27592817157	63929981745	11358646
27	2010	27309363.69	24136207.94	581783292	6168031469	1383445
27	2011	28675496.17	27309363.69	645927190	6922066133	1410459.5
27	2012	30547553.26	28675496.17	766251059	7264379908	1437474
27	2013	33182494.87	30547553.26	887009387		1455039
27	2014	34319840.02	33182494.87	1096585997	8045486884	1472751
27	2015	34255632.59	34319840.02	1044166280	7879121403	1490782
27	2016	35186279.98	34255632.59	749745850	8111468377	1507623
27	2017	36909440.79	35186279.98	1167174092	8316795727	1524403
27	2018	37202022.92	36909440.79	1433971661	7811200319	1542150
27	2019	39355941	37202022.92	1285762316	7760100972	1559657
